,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-01-16,0.0,0.0,3.0,1.0,0,0,3,1,0,0,3,2,0,27,2024-01-29
2024-01-17,9.0,2.0,78.0,2.0,0,0,3,1,0,0,3,2,4,27,2024-01-29
2024-01-18,3.0,1.0,82.0,1.0,0,0,3,1,0,0,3,2,3,27,2024-01-29
2024-01-19,0.0,0.0,3.0,1.0,0,0,3,1,0,0,3,2,0,27,2024-01-29
2024-01-20,7.0,1.0,87.0,1.0,0,0,3,1,0,0,3,2,2,27,2024-01-29
2024-01-21,0.0,0.0,6.0,1.0,0,0,3,1,0,0,3,2,0,27,2024-01-29
2024-01-22,0.0,0.0,26.0,2.0,0,0,3,1,0,0,3,2,1,27,2024-01-29
2024-01-23,0.0,0.0,3.0,2.0,0,0,5,0,0,0,3,2,0,38,2024-02-05
2024-01-24,0.0,0.0,1.0,1.0,0,0,5,0,0,0,3,2,0,38,2024-02-05
2024-01-25,9.0,1.0,100.0,1.0,0,0,5,0,0,0,3,2,6,38,2024-02-05
2024-01-26,3.0,1.0,17.0,1.0,0,0,5,0,0,0,3,2,1,38,2024-02-05
2024-01-27,10.0,2.0,81.0,2.0,0,0,5,0,0,0,3,2,3,38,2024-02-05
2024-01-28,0.0,0.0,28.0,2.0,0,0,5,0,0,0,3,2,0,38,2024-02-05
2024-01-29,10.0,2.0,116.0,2.0,0,0,5,0,0,0,3,2,3,38,2024-02-05
2024-01-30,13.0,2.0,136.0,2.0,0,0,6,0,0,0,3,2,5,41,2024-02-12
2024-01-31,0.0,0.0,21.0,2.0,0,0,6,0,0,0,3,2,0,41,2024-02-12
2024-02-01,0.0,0.0,12.0,1.0,0,0,6,0,0,0,3,2,0,41,2024-02-12
2024-02-02,0.0,0.0,17.0,2.0,0,0,6,0,0,0,3,2,0,41,2024-02-12
2024-02-03,0.0,0.0,7.0,1.0,0,0,6,0,0,0,3,2,0,41,2024-02-12
2024-02-04,0.0,0.0,0.0,0.0,0,0,6,0,0,0,3,2,0,41,2024-02-12
2024-02-05,4.0,2.0,47.0,2.0,0,0,6,0,0,0,3,2,2,41,2024-02-12
2024-02-06,0.0,0.0,1.0,1.0,0,0,10,0,0,0,3,2,0,63,2024-02-19
2024-02-07,0.0,0.0,28.0,1.0,0,0,10,0,0,0,3,2,0,63,2024-02-19
2024-02-08,2.0,1.0,40.0,2.0,0,0,10,0,0,0,3,2,1,63,2024-02-19
2024-02-09,1.0,1.0,127.0,1.0,0,0,10,0,0,0,3,2,0,63,2024-02-19
2024-02-10,0.0,0.0,21.0,2.0,0,0,10,0,0,0,3,2,0,63,2024-02-19
2024-02-11,0.0,0.0,0.0,0.0,0,0,10,0,0,0,3,2,0,63,2024-02-19
2024-02-12,9.0,1.0,96.0,2.0,0,0,10,0,0,0,3,2,4,63,2024-02-19
2024-02-13,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-02-26
2024-02-14,35.0,2.0,112.0,2.0,0,0,10,1,0,0,3,2,12,63,2024-02-26
2024-02-15,4.0,1.0,166.0,2.0,0,0,10,1,0,0,3,2,4,63,2024-02-26
2024-02-16,8.0,1.0,88.0,2.0,0,0,10,1,0,0,3,2,2,63,2024-02-26
2024-02-17,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-02-26
2024-02-18,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-02-26
2024-02-19,0.0,0.0,1.0,1.0,0,0,10,1,0,0,3,2,0,63,2024-02-26
2024-02-20,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-03-04
2024-02-21,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-03-04
2024-02-22,9.0,2.0,60.0,2.0,0,0,10,1,0,0,3,2,0,63,2024-03-06
2024-02-23,0.0,0.0,13.0,2.0,0,0,10,1,0,0,3,2,0,63,2024-03-06
2024-02-24,0.0,0.0,1.0,1.0,0,0,10,1,0,0,3,2,0,63,2024-03-06
2024-02-25,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-03-06
2024-02-26,1.0,1.0,1.0,1.0,0,0,10,1,0,0,3,2,0,63,2024-03-06
2024-02-27,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-03-11
2024-02-28,0.0,0.0,0.0,0.0,0,0,10,1,0,0,3,2,0,63,2024-03-11
2024-02-29,0.0,0.0,24.0,2.0,0,0,10,1,0,0,3,2,0,63,2024-03-11
