,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,updated_on,clones,clones_unique,views,views_unique
2024-02-22,5,6,14,0,0,2,3,2,0,268,0,106,2024-03-06,0.0,0.0,0.0,0.0
2024-02-23,5,6,14,0,0,2,3,2,4,268,106,106,2024-03-06,15.0,2.0,50.0,1.0
2024-02-24,5,6,14,0,0,2,3,2,0,268,17,123,2024-03-06,0.0,0.0,22.0,1.0
2024-02-25,5,6,14,0,0,2,3,2,0,268,12,135,2024-03-06,0.0,0.0,7.0,1.0
2024-02-26,5,6,14,0,0,2,3,2,3,268,5,140,2024-03-06,23.0,3.0,74.0,2.0
2024-02-27,5,6,14,0,1,2,3,2,1,268,0,143,2024-03-11,0.0,0.0,49.0,1.0
2024-02-28,5,6,14,0,1,2,3,2,0,268,3,143,2024-03-11,0.0,0.0,1.0,1.0
2024-02-29,5,6,14,0,1,2,3,2,6,268,38,181,2024-03-11,32.0,12.0,108.0,5.0
2024-03-01,5,6,14,0,1,2,3,2,5,268,89,270,2024-03-11,37.0,9.0,118.0,3.0
2024-03-02,5,6,14,0,1,2,3,2,0,268,7,277,2024-03-11,1.0,1.0,27.0,4.0
2024-03-03,5,6,14,0,1,2,3,2,0,268,0,277,2024-03-11,0.0,0.0,6.0,1.0
2024-03-04,5,6,14,0,1,2,3,2,0,268,4,281,2024-03-11,2.0,2.0,27.0,3.0
2024-03-05,5,6,14,0,1,2,3,2,0,268,0,283,2024-03-18,1.0,1.0,124.0,5.0
2024-03-06,5,6,14,0,1,2,3,2,0,268,0,283,2024-03-18,1.0,1.0,41.0,2.0
2024-03-07,5,6,14,0,1,2,3,2,0,268,2,283,2024-03-18,5.0,4.0,171.0,7.0
2024-03-08,5,6,14,0,1,2,3,2,0,268,1,284,2024-03-18,3.0,2.0,21.0,4.0
2024-03-09,5,6,14,0,1,2,3,2,0,268,0,284,2024-03-18,1.0,1.0,0.0,0.0
