,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-02-22,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-06
2024-02-23,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-06
2024-02-24,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-06
2024-02-25,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-06
2024-02-26,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-06
2024-02-27,0.0,0.0,3.0,1.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-02-28,0.0,0.0,3.0,1.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-02-29,6.0,2.0,151.0,1.0,0,0,1,0,0,0,4,2,12,15,2024-03-11
2024-03-01,8.0,8.0,43.0,2.0,0,0,1,0,0,0,4,2,3,15,2024-03-11
2024-03-02,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-03,2.0,1.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-04,2.0,2.0,12.0,2.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-05,2.0,1.0,16.0,2.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-06,1.0,1.0,22.0,3.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-07,2.0,2.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-08,2.0,1.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-09,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-10,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
2024-03-11,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4,2,0,15,2024-03-11
