,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-01-09,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-10,51,3,636,1,58,135,25,21,1,1047,2024-01-22
2024-01-11,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-12,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-13,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-14,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-15,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-16,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-17,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-18,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-19,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-20,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-21,51,3,636,1,58,135,25,21,0,1047,2024-01-22
2024-01-22,51,3,636,1,58,135,25,21,0,1047,2024-01-22
