,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2024-01-09,20,6,287,0,24,18,10,15,1,612,2024-01-22
2024-01-10,20,6,287,0,24,18,10,15,0,612,2024-01-22
2024-01-11,20,6,287,0,24,18,10,15,0,612,2024-01-22
2024-01-12,20,6,287,0,24,18,10,15,0,612,2024-01-22
2024-01-13,20,6,287,0,24,18,10,15,1,612,2024-01-22
2024-01-14,20,6,287,0,24,18,10,15,0,612,2024-01-22
2024-01-15,20,6,287,0,24,18,10,15,0,612,2024-01-22
2024-01-16,22,5,287,0,24,19,10,15,1,612,2024-01-29
2024-01-17,22,5,287,0,24,19,10,15,0,612,2024-01-29
2024-01-18,22,5,287,0,24,19,10,15,0,612,2024-01-29
2024-01-19,22,5,287,0,24,19,10,15,0,612,2024-01-29
2024-01-20,22,5,287,0,24,19,10,15,0,612,2024-01-29
2024-01-21,22,5,287,0,24,19,10,15,0,612,2024-01-29
2024-01-22,22,5,287,0,24,19,10,15,0,612,2024-01-29
2024-01-23,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-24,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-25,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-26,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-27,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-28,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-29,22,6,288,0,24,19,10,15,1,613,2024-02-05
2024-01-30,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-01-31,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-02-01,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-02-02,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-02-03,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-02-04,22,6,288,0,24,19,10,15,0,613,2024-02-05
2024-02-05,22,6,288,0,24,19,10,15,0,613,2024-02-05
