,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on,clones,clones_unique,views,views_unique
2023-10-17,26,5,405,2,35,44,18,25,0,1233,2023-10-30,32.0,16.0,196.0,7.0
2023-10-18,26,5,405,2,35,44,18,25,0,1233,2023-10-30,96.0,16.0,238.0,9.0
2023-10-19,26,5,405,2,35,44,18,25,2,1233,2023-10-30,92.0,17.0,61.0,11.0
2023-10-20,26,5,405,2,35,44,18,25,0,1233,2023-10-30,23.0,12.0,145.0,8.0
2023-10-21,26,5,405,2,35,44,18,25,0,1233,2023-10-30,20.0,9.0,2.0,1.0
2023-10-22,26,5,405,2,35,44,18,25,0,1233,2023-10-30,14.0,7.0,2.0,2.0
2023-10-23,26,5,405,2,35,44,18,25,0,1233,2023-10-30,142.0,27.0,106.0,7.0
2023-10-24,26,5,408,1,35,44,18,25,0,1236,2023-11-06,43.0,14.0,61.0,9.0
2023-10-25,26,5,408,1,35,44,18,25,1,1236,2023-11-06,175.0,26.0,245.0,13.0
2023-10-26,26,5,408,1,35,44,18,25,2,1236,2023-11-06,246.0,33.0,138.0,13.0
2023-10-27,26,5,408,1,35,44,18,25,1,1236,2023-11-06,200.0,33.0,261.0,11.0
2023-10-28,26,5,408,1,35,44,18,25,0,1236,2023-11-06,14.0,8.0,10.0,4.0
2023-10-29,26,5,408,1,35,44,18,25,0,1236,2023-11-06,13.0,9.0,3.0,2.0
2023-10-30,26,5,408,1,35,44,18,25,3,1236,2023-11-06,316.0,45.0,166.0,15.0
2023-10-31,27,4,409,0,35,44,18,25,1,1237,2023-11-13,241.0,50.0,62.0,12.0
2023-11-01,27,4,409,0,35,44,18,25,0,1237,2023-11-13,114.0,30.0,61.0,8.0
2023-11-02,27,4,409,0,35,44,18,25,0,1237,2023-11-13,93.0,23.0,117.0,13.0
2023-11-03,27,4,409,0,35,44,18,25,1,1237,2023-11-13,107.0,16.0,43.0,9.0
2023-11-04,27,4,409,0,35,44,18,25,0,1237,2023-11-13,9.0,7.0,8.0,2.0
2023-11-05,27,4,409,0,35,44,18,25,0,1237,2023-11-13,9.0,6.0,14.0,7.0
2023-11-06,27,4,409,0,35,44,18,25,1,1237,2023-11-13,157.0,58.0,80.0,13.0
2023-11-07,27,5,409,0,35,44,18,25,0,1237,2023-11-20,48.0,23.0,3.0,3.0
2023-11-08,27,5,409,0,35,44,18,25,0,1237,2023-11-20,19.0,13.0,104.0,14.0
2023-11-09,27,5,409,0,35,44,18,25,0,1237,2023-11-20,12.0,9.0,29.0,9.0
2023-11-10,27,5,409,0,35,44,18,25,0,1237,2023-11-20,43.0,19.0,146.0,8.0
2023-11-11,27,5,409,0,35,44,18,25,0,1237,2023-11-20,19.0,10.0,59.0,6.0
2023-11-12,27,5,409,0,35,44,18,25,0,1237,2023-11-20,9.0,7.0,60.0,3.0
2023-11-13,27,5,409,0,35,44,18,25,0,1237,2023-11-20,54.0,27.0,72.0,8.0
2023-11-14,27,5,409,0,35,44,18,25,0,1237,2023-11-27,46.0,21.0,47.0,5.0
2023-11-15,27,5,409,0,35,44,18,25,0,1237,2023-11-27,43.0,17.0,60.0,8.0
2023-11-16,27,5,409,0,35,44,18,25,0,1237,2023-11-27,137.0,56.0,57.0,5.0
2023-11-17,27,5,409,0,35,44,18,25,0,1237,2023-11-27,122.0,49.0,42.0,6.0
2023-11-18,27,5,409,0,35,44,18,25,0,1237,2023-11-27,43.0,21.0,6.0,4.0
2023-11-19,27,5,409,0,35,44,18,25,0,1237,2023-11-27,16.0,13.0,158.0,7.0
2023-11-20,27,5,409,0,35,44,18,25,0,1237,2023-11-27,92.0,33.0,8.0,5.0
2023-11-21,27,6,411,1,35,44,18,25,0,1239,2023-12-04,42.0,19.0,34.0,9.0
2023-11-22,27,6,411,1,35,44,18,25,0,1239,2023-12-04,90.0,65.0,32.0,3.0
2023-11-23,27,6,411,1,35,44,18,25,0,1239,2023-12-04,12.0,9.0,9.0,3.0
2023-11-24,27,6,411,1,35,44,18,25,0,1239,2023-12-04,19.0,15.0,3.0,1.0
2023-11-25,27,6,411,1,35,44,18,25,0,1239,2023-12-04,15.0,10.0,0.0,0.0
2023-11-26,27,6,411,1,35,44,18,25,0,1239,2023-12-04,12.0,9.0,2.0,1.0
2023-11-27,27,6,411,1,35,44,18,25,0,1239,2023-12-04,54.0,29.0,54.0,5.0
2023-11-28,28,6,417,1,35,45,18,26,0,1245,2023-12-11,75.0,35.0,93.0,6.0
2023-11-29,28,6,417,1,35,45,18,26,0,1245,2023-12-11,17.0,12.0,54.0,6.0
2023-11-30,28,6,417,1,35,45,18,26,1,1245,2023-12-11,187.0,40.0,183.0,8.0
2023-12-01,28,6,417,1,35,45,18,26,1,1245,2023-12-11,53.0,15.0,47.0,5.0
2023-12-02,28,6,417,1,35,45,18,26,0,1245,2023-12-11,14.0,10.0,34.0,4.0
2023-12-03,28,6,417,1,35,45,18,26,0,1245,2023-12-11,13.0,10.0,65.0,3.0
