,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,updated_on,clones,clones_unique,views,views_unique
2023-10-17,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,1.0,1.0
2023-10-18,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,0.0,0.0
2023-10-19,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,6.0,1.0
2023-10-20,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,0.0,0.0
2023-10-21,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,1.0,1.0
2023-10-22,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,0.0,0.0
2023-10-23,1,0,13,0,2,1,4,2,0,83,,,2023-10-30,0.0,0.0,0.0,0.0
2023-10-24,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,0.0,0.0
2023-10-25,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,0.0,0.0
2023-10-26,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,0.0,0.0
2023-10-27,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,0.0,0.0
2023-10-28,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,0.0,0.0
2023-10-29,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,0.0,0.0
2023-10-30,1,0,13,0,2,1,4,2,0,83,,,2023-11-06,0.0,0.0,3.0,2.0
2023-10-31,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,2.0,1.0,1.0,1.0
2023-11-01,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,0.0,0.0,4.0,1.0
2023-11-02,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,1.0,1.0,6.0,2.0
2023-11-03,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,3.0,3.0,3.0,3.0
2023-11-04,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,0.0,0.0,0.0,0.0
2023-11-05,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,0.0,0.0,0.0,0.0
2023-11-06,1,0,13,0,3,1,4,2,0,83,,,2023-11-13,2.0,2.0,2.0,1.0
2023-11-07,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,0.0,0.0,1.0,1.0
2023-11-08,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,0.0,0.0,0.0,0.0
2023-11-09,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,0.0,0.0,7.0,2.0
2023-11-10,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,0.0,0.0,0.0,0.0
2023-11-11,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,0.0,0.0,0.0,0.0
2023-11-12,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,0.0,0.0,0.0,0.0
2023-11-13,1,0,13,0,3,4,5,2,0,83,,,2023-11-20,1.0,1.0,1.0,1.0
2023-11-14,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,0.0,0.0
2023-11-15,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,1.0,1.0
2023-11-16,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,3.0,3.0
2023-11-17,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,9.0,6.0
2023-11-18,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,3.0,1.0
2023-11-19,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,0.0,0.0
2023-11-20,1,0,13,0,3,4,5,2,0,83,,,2023-11-27,0.0,0.0,0.0,0.0
2023-11-21,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,0.0,0.0,0.0,0.0
2023-11-22,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,0.0,0.0,13.0,1.0
2023-11-23,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,0.0,0.0,0.0,0.0
2023-11-24,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,0.0,0.0,0.0,0.0
2023-11-25,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,1.0,1.0,0.0,0.0
2023-11-26,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,1.0,1.0,6.0,1.0
2023-11-27,1,0,17,0,3,5,6,2,0,127,0.0,562.0,2023-12-04,0.0,0.0,5.0,2.0
2023-11-28,1,0,17,0,3,5,6,2,7,127,0.0,562.0,2023-12-11,14.0,7.0,68.0,2.0
2023-11-29,1,0,17,0,3,5,6,2,7,127,0.0,562.0,2023-12-11,8.0,3.0,69.0,1.0
2023-11-30,1,0,17,0,3,5,6,2,30,127,562.0,562.0,2023-12-11,50.0,17.0,203.0,1.0
2023-12-01,1,0,17,0,3,5,6,2,0,127,17.0,579.0,2023-12-11,0.0,0.0,13.0,1.0
2023-12-02,1,0,17,0,3,5,6,2,0,127,21.0,600.0,2023-12-11,0.0,0.0,0.0,0.0
2023-12-03,1,0,17,0,3,5,6,2,0,127,13.0,613.0,2023-12-11,0.0,0.0,3.0,1.0
2023-12-04,1,0,17,0,3,5,6,2,0,127,3.0,616.0,2023-12-11,2.0,2.0,7.0,1.0
2023-12-05,1,0,17,0,3,5,6,2,0,127,5.0,621.0,2023-12-18,1.0,1.0,15.0,1.0
2023-12-06,1,0,17,0,3,5,6,2,0,127,14.0,635.0,2023-12-18,0.0,0.0,0.0,0.0
2023-12-07,1,0,17,0,3,5,6,2,0,127,19.0,654.0,2023-12-18,3.0,3.0,5.0,1.0
2023-12-08,1,0,17,0,3,5,6,2,0,127,4.0,658.0,2023-12-18,0.0,0.0,0.0,0.0
2023-12-09,1,0,17,0,3,5,6,2,0,127,5.0,663.0,2023-12-18,2.0,2.0,0.0,0.0
2023-12-10,1,0,17,0,3,5,6,2,0,127,0.0,663.0,2023-12-18,0.0,0.0,0.0,0.0
2023-12-11,1,0,17,0,3,5,6,2,0,127,0.0,663.0,2023-12-18,0.0,0.0,1.0,1.0
2023-12-12,1,0,17,0,3,5,6,2,0,127,0.0,669.0,2023-12-25,0.0,0.0,0.0,0.0
2023-12-13,1,0,17,0,3,5,6,2,0,127,6.0,669.0,2023-12-25,0.0,0.0,11.0,1.0
2023-12-14,1,0,17,0,3,5,6,2,0,127,0.0,669.0,2023-12-25,2.0,2.0,10.0,1.0
2023-12-15,1,0,17,0,3,5,6,2,0,127,0.0,669.0,2023-12-25,0.0,0.0,0.0,0.0
2023-12-16,1,0,17,0,3,5,6,2,0,127,0.0,669.0,2023-12-25,0.0,0.0,1.0,1.0
2023-12-17,1,0,17,0,3,5,6,2,0,127,0.0,669.0,2023-12-25,0.0,0.0,4.0,1.0
2023-12-18,1,0,17,0,3,5,6,2,0,127,2.0,671.0,2023-12-25,0.0,0.0,0.0,0.0
2023-12-19,2,0,17,0,3,5,6,2,0,127,0.0,673.0,2024-01-01,0.0,0.0,4.0,1.0
2023-12-20,2,0,17,0,3,5,6,2,0,127,0.0,673.0,2024-01-01,0.0,0.0,1.0,1.0
2023-12-21,2,0,17,0,3,5,6,2,0,127,0.0,673.0,2024-01-01,0.0,0.0,0.0,0.0
2023-12-22,2,0,17,0,3,5,6,2,0,127,0.0,673.0,2024-01-01,0.0,0.0,0.0,0.0
2023-12-23,2,0,17,0,3,5,6,2,0,127,2.0,673.0,2024-01-01,0.0,0.0,0.0,0.0
2023-12-24,2,0,17,0,3,5,6,2,0,127,2.0,675.0,2024-01-01,0.0,0.0,0.0,0.0
2023-12-25,2,0,17,0,3,5,6,2,0,127,2.0,677.0,2024-01-01,0.0,0.0,0.0,0.0
2023-12-26,2,0,17,0,3,5,6,2,0,127,3.0,680.0,2024-01-08,0.0,0.0,0.0,0.0
2023-12-27,2,0,17,0,3,5,6,2,0,127,2.0,682.0,2024-01-08,1.0,1.0,0.0,0.0
2023-12-28,2,0,17,0,3,5,6,2,0,127,0.0,682.0,2024-01-08,0.0,0.0,12.0,2.0
2023-12-29,2,0,17,0,3,5,6,2,0,127,1.0,683.0,2024-01-08,2.0,1.0,6.0,1.0
2023-12-30,2,0,17,0,3,5,6,2,0,127,8.0,691.0,2024-01-08,0.0,0.0,2.0,1.0
2023-12-31,2,0,17,0,3,5,6,2,0,127,0.0,691.0,2024-01-08,1.0,1.0,4.0,2.0
2024-01-01,2,0,17,0,3,5,6,2,0,127,0.0,693.0,2024-01-14,0.0,0.0,0.0,0.0
2024-01-02,2,0,17,0,3,5,6,2,0,127,0.0,693.0,2024-01-15,0.0,0.0,0.0,0.0
2024-01-03,2,0,17,0,3,5,6,2,0,127,2.0,693.0,2024-01-15,1.0,1.0,0.0,0.0
2024-01-04,2,0,17,0,3,5,6,2,0,127,10.0,703.0,2024-01-15,1.0,1.0,6.0,2.0
2024-01-05,2,0,17,0,3,5,6,2,0,127,0.0,703.0,2024-01-15,0.0,0.0,0.0,0.0
2024-01-06,2,0,17,0,3,5,6,2,0,127,2.0,705.0,2024-01-15,1.0,1.0,3.0,1.0
2024-01-07,2,0,17,0,3,5,6,2,0,127,0.0,705.0,2024-01-15,0.0,0.0,0.0,0.0
2024-01-08,2,0,17,0,3,5,6,2,0,127,2.0,707.0,2024-01-15,1.0,1.0,0.0,0.0
2024-01-09,2,0,17,0,3,5,6,2,0,127,0.0,714.0,2024-01-22,0.0,0.0,0.0,0.0
2024-01-10,2,0,17,0,3,5,6,2,0,127,7.0,714.0,2024-01-22,0.0,0.0,7.0,1.0
2024-01-11,2,0,17,0,3,5,6,2,0,127,2.0,716.0,2024-01-22,2.0,1.0,0.0,0.0
2024-01-12,2,0,17,0,3,5,6,2,0,127,2.0,718.0,2024-01-22,0.0,0.0,3.0,1.0
2024-01-13,2,0,17,0,3,5,6,2,0,127,1.0,719.0,2024-01-22,1.0,1.0,0.0,0.0
2024-01-14,2,0,17,0,3,5,6,2,0,127,6.0,725.0,2024-01-22,2.0,1.0,0.0,0.0
2024-01-15,2,0,17,0,3,5,6,2,0,127,12.0,737.0,2024-01-22,0.0,0.0,1.0,1.0
2024-01-16,2,0,17,0,3,5,6,2,0,127,0.0,747.0,2024-01-29,0.0,0.0,0.0,0.0
