,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on,clones,clones_unique,views,views_unique
2023-10-17,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,6.0,2.0
2023-10-18,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,2.0,1.0
2023-10-19,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,8.0,1.0
2023-10-20,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,2.0,1.0
2023-10-21,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,0.0,0.0
2023-10-22,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,0.0,0.0
2023-10-23,0,0,5,0,0,0,2,1,0,49,2023-10-30,0.0,0.0,0.0,0.0
2023-10-24,0,0,6,0,0,0,2,1,0,52,2023-11-06,0.0,0.0,3.0,1.0
2023-10-25,0,0,6,0,0,0,2,1,0,52,2023-11-06,0.0,0.0,0.0,0.0
2023-10-26,0,0,6,0,0,0,2,1,0,52,2023-11-06,0.0,0.0,30.0,1.0
2023-10-27,0,0,6,0,0,0,2,1,0,52,2023-11-06,0.0,0.0,1.0,1.0
2023-10-28,0,0,6,0,0,0,2,1,0,52,2023-11-06,0.0,0.0,0.0,0.0
2023-10-29,0,0,6,0,0,0,2,1,0,52,2023-11-06,0.0,0.0,0.0,0.0
2023-10-30,0,0,6,0,0,0,2,1,4,52,2023-11-06,19.0,12.0,120.0,5.0
2023-10-31,0,0,6,0,0,1,2,1,0,52,2023-11-13,2.0,2.0,129.0,5.0
2023-11-01,0,0,6,0,0,1,2,1,0,52,2023-11-13,1.0,1.0,20.0,6.0
2023-11-02,0,0,6,0,0,1,2,1,0,52,2023-11-13,1.0,1.0,13.0,1.0
2023-11-03,0,0,6,0,0,1,2,1,2,52,2023-11-13,8.0,5.0,47.0,3.0
2023-11-04,0,0,6,0,0,1,2,1,0,52,2023-11-13,0.0,0.0,3.0,1.0
2023-11-05,0,0,6,0,0,1,2,1,0,52,2023-11-13,1.0,1.0,1.0,1.0
2023-11-06,0,0,6,0,0,1,2,1,0,52,2023-11-13,2.0,2.0,4.0,1.0
2023-11-07,1,0,7,0,0,1,4,1,0,55,2023-11-20,0.0,0.0,1.0,1.0
2023-11-08,1,0,7,0,0,1,4,1,0,55,2023-11-20,1.0,1.0,5.0,2.0
2023-11-09,1,0,7,0,0,1,4,1,0,55,2023-11-20,1.0,1.0,4.0,3.0
2023-11-10,1,0,7,0,0,1,4,1,0,55,2023-11-20,0.0,0.0,22.0,3.0
2023-11-11,1,0,7,0,0,1,4,1,0,55,2023-11-20,0.0,0.0,0.0,0.0
2023-11-12,1,0,7,0,0,1,4,1,0,55,2023-11-20,1.0,1.0,1.0,1.0
2023-11-13,1,0,7,0,0,1,4,1,0,55,2023-11-20,0.0,0.0,46.0,1.0
2023-11-14,1,0,12,0,0,1,5,1,3,74,2023-11-27,14.0,7.0,204.0,5.0
2023-11-15,1,0,12,0,0,1,5,1,0,74,2023-11-27,2.0,2.0,260.0,6.0
2023-11-16,1,0,12,0,0,1,5,1,0,74,2023-11-27,0.0,0.0,9.0,4.0
2023-11-17,1,0,12,0,0,1,5,1,0,74,2023-11-27,1.0,1.0,11.0,4.0
2023-11-18,1,0,12,0,0,1,5,1,0,74,2023-11-27,0.0,0.0,0.0,0.0
2023-11-19,1,0,12,0,0,1,5,1,0,74,2023-11-27,1.0,1.0,4.0,2.0
2023-11-20,1,0,12,0,0,1,5,1,0,74,2023-11-27,1.0,1.0,10.0,2.0
2023-11-21,1,0,14,0,0,1,5,1,8,79,2023-12-04,27.0,9.0,149.0,2.0
2023-11-22,1,0,14,0,0,1,5,1,9,79,2023-12-04,34.0,9.0,112.0,3.0
2023-11-23,1,0,14,0,0,1,5,1,0,79,2023-12-04,1.0,1.0,0.0,0.0
2023-11-24,1,0,14,0,0,1,5,1,0,79,2023-12-04,0.0,0.0,2.0,2.0
2023-11-25,1,0,14,0,0,1,5,1,0,79,2023-12-04,0.0,0.0,4.0,2.0
2023-11-26,1,0,14,0,0,1,5,1,2,79,2023-12-04,9.0,6.0,8.0,1.0
2023-11-27,1,0,14,0,0,1,5,1,1,79,2023-12-04,3.0,2.0,101.0,8.0
2023-11-28,1,0,14,0,0,1,5,1,3,79,2023-12-11,16.0,9.0,51.0,2.0
2023-11-29,1,0,14,0,0,1,5,1,0,79,2023-12-11,0.0,0.0,12.0,2.0
2023-11-30,1,0,14,0,0,1,5,1,0,79,2023-12-11,1.0,1.0,8.0,3.0
2023-12-01,1,0,14,0,0,1,5,1,1,79,2023-12-11,4.0,4.0,53.0,2.0
2023-12-02,1,0,14,0,0,1,5,1,0,79,2023-12-11,0.0,0.0,0.0,0.0
2023-12-03,1,0,14,0,0,1,5,1,0,79,2023-12-11,1.0,1.0,0.0,0.0
2023-12-04,1,0,14,0,0,1,5,1,0,79,2023-12-11,2.0,2.0,11.0,2.0
2023-12-05,1,0,14,0,0,1,5,1,0,79,2023-12-18,0.0,0.0,22.0,4.0
2023-12-06,1,0,14,0,0,1,5,1,0,79,2023-12-18,1.0,1.0,16.0,3.0
2023-12-07,1,0,14,0,0,1,5,1,0,79,2023-12-18,2.0,1.0,1.0,1.0
2023-12-08,1,0,14,0,0,1,5,1,0,79,2023-12-18,1.0,1.0,3.0,3.0
2023-12-09,1,0,14,0,0,1,5,1,0,79,2023-12-18,1.0,1.0,0.0,0.0
