,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on,pypi_daily,pypi_180_cumulative
2023-11-14,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,29,2023-11-27,0.0,138.0
2023-11-15,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,29,2023-11-27,0.0,138.0
2023-11-16,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,29,2023-11-27,0.0,138.0
2023-11-17,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,29,2023-11-27,0.0,138.0
2023-11-18,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,29,2023-11-27,0.0,138.0
2023-11-19,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,29,2023-11-27,0.0,138.0
2023-11-20,10.0,2.0,25.0,1.0,0,0,4,0,0,0,1,1,9,29,2023-11-27,72.0,138.0
2023-11-21,31.0,18.0,49.0,1.0,0,0,4,0,0,0,1,1,6,33,2023-12-04,91.0,220.0
2023-11-22,62.0,22.0,97.0,1.0,0,0,4,0,0,0,1,1,10,33,2023-12-04,275.0,495.0
2023-11-23,1.0,1.0,0.0,0.0,0,0,4,0,0,0,1,1,0,33,2023-12-04,18.0,513.0
2023-11-24,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1,1,0,33,2023-12-04,4.0,517.0
2023-11-25,0.0,0.0,3.0,1.0,0,0,4,0,0,0,1,1,0,33,2023-12-04,7.0,524.0
2023-11-26,12.0,8.0,6.0,1.0,0,0,4,0,0,0,1,1,4,33,2023-12-04,130.0,654.0
2023-11-27,1.0,1.0,15.0,1.0,0,0,4,0,0,0,1,1,0,33,2023-12-04,18.0,672.0
2023-11-28,16.0,13.0,78.0,2.0,0,0,4,0,0,0,1,1,3,33,2023-12-11,155.0,818.0
2023-11-29,0.0,0.0,2.0,1.0,0,0,4,0,0,0,1,1,0,33,2023-12-11,23.0,841.0
2023-11-30,4.0,3.0,43.0,1.0,0,0,4,0,0,0,1,1,1,33,2023-12-11,84.0,925.0
2023-12-01,2.0,1.0,0.0,0.0,0,0,4,0,0,0,1,1,0,33,2023-12-11,3.0,928.0
2023-12-02,1.0,1.0,0.0,0.0,0,0,4,0,0,0,1,1,0,33,2023-12-11,11.0,939.0
2023-12-03,1.0,1.0,0.0,0.0,0,0,4,0,0,0,1,1,0,33,2023-12-11,12.0,951.0
2023-12-04,1.0,1.0,43.0,2.0,0,0,4,0,0,0,1,1,0,33,2023-12-11,6.0,957.0
2023-12-05,1.0,1.0,6.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-18,2.0,956.0
2023-12-06,0.0,0.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2023-12-18,17.0,973.0
2023-12-07,4.0,3.0,8.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-18,15.0,988.0
2023-12-08,0.0,0.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2023-12-18,5.0,993.0
2023-12-09,1.0,1.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2023-12-18,6.0,999.0
2023-12-10,1.0,1.0,2.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-18,2.0,1001.0
2023-12-11,31.0,15.0,9.0,1.0,0,0,5,0,0,0,1,1,6,39,2023-12-18,120.0,1121.0
2023-12-12,1.0,1.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,26.0,1145.0
2023-12-13,0.0,0.0,16.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,20.0,1165.0
2023-12-14,0.0,0.0,5.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,9.0,1174.0
2023-12-15,0.0,0.0,11.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,3.0,1177.0
2023-12-16,0.0,0.0,1.0,1.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,13.0,1190.0
2023-12-17,2.0,1.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,7.0,1197.0
2023-12-18,3.0,3.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2023-12-25,1.0,1198.0
2023-12-19,0.0,0.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2024-01-01,1.0,1194.0
2023-12-20,0.0,0.0,0.0,0.0,0,0,5,0,0,0,1,1,0,39,2024-01-01,0.0,1194.0
