,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,updated_on,clones,clones_unique,views,views_unique
2022-06-28,9,0,46,1,0,2,3,2,0,724,0,20,2022-07-11,12.0,1.0,0.0,0.0
2022-06-29,9,0,46,1,0,2,3,2,1,724,0,20,2022-07-11,15.0,1.0,12.0,2.0
2022-06-30,9,0,46,1,0,2,3,2,17,724,0,20,2022-07-11,31.0,1.0,69.0,2.0
2022-07-01,9,0,46,1,0,2,3,2,8,724,0,20,2022-07-11,32.0,1.0,16.0,1.0
2022-07-02,9,0,46,1,0,2,3,2,4,724,0,20,2022-07-11,14.0,1.0,0.0,0.0
2022-07-03,9,0,46,1,0,2,3,2,0,724,0,20,2022-07-11,0.0,0.0,0.0,0.0
2022-07-04,9,0,46,1,0,2,3,2,0,724,0,20,2022-07-11,0.0,0.0,0.0,0.0
2022-07-05,9,0,48,0,0,3,3,2,2,742,0,20,2022-07-18,2.0,1.0,0.0,0.0
2022-07-06,9,0,48,0,0,3,3,2,6,742,0,20,2022-07-18,25.0,1.0,51.0,2.0
2022-07-07,9,0,48,0,0,3,3,2,11,742,20,20,2022-07-18,87.0,12.0,95.0,8.0
2022-07-08,9,0,48,0,0,3,3,2,1,742,16,36,2022-07-18,8.0,4.0,48.0,6.0
2022-07-09,9,0,48,0,0,3,3,2,0,742,8,44,2022-07-18,0.0,0.0,1.0,1.0
2022-07-10,9,0,48,0,0,3,3,2,0,742,2,46,2022-07-18,0.0,0.0,0.0,0.0
2022-07-11,9,0,48,0,0,3,3,2,8,742,3,49,2022-07-18,5.0,2.0,9.0,3.0
2022-07-12,9,1,51,2,0,3,3,2,9,795,1,50,2022-07-25,33.0,4.0,49.0,7.0
2022-07-13,9,1,51,2,0,3,3,2,1,795,2,52,2022-07-25,12.0,3.0,24.0,4.0
2022-07-14,9,1,51,2,0,3,3,2,0,795,3,55,2022-07-25,2.0,1.0,16.0,2.0
2022-07-15,9,1,51,2,0,3,3,2,0,795,2,57,2022-07-25,5.0,3.0,13.0,4.0
2022-07-16,9,1,51,2,0,3,3,2,0,795,0,57,2022-07-25,3.0,2.0,0.0,0.0
2022-07-17,9,1,51,2,0,3,3,2,0,795,2,59,2022-07-25,3.0,2.0,2.0,2.0
2022-07-18,9,1,51,2,0,3,3,2,21,795,0,59,2022-07-25,28.0,2.0,7.0,6.0
2022-07-19,10,1,56,1,0,4,3,2,14,860,2,61,2022-08-01,58.0,3.0,58.0,12.0
2022-07-20,10,1,56,1,0,4,3,2,5,860,0,61,2022-08-01,20.0,2.0,47.0,4.0
2022-07-21,10,1,56,1,0,4,3,2,9,860,0,61,2022-08-01,33.0,4.0,53.0,9.0
2022-07-22,10,1,56,1,0,4,3,2,6,860,2,63,2022-08-01,52.0,4.0,139.0,5.0
2022-07-23,10,1,56,1,0,4,3,2,0,860,0,63,2022-08-01,0.0,0.0,0.0,0.0
2022-07-24,10,1,56,1,0,4,3,2,0,860,1,64,2022-08-01,0.0,0.0,3.0,1.0
2022-07-25,10,1,56,1,0,4,3,2,20,860,0,64,2022-08-01,41.0,3.0,56.0,3.0
2022-07-26,10,1,63,0,0,5,3,2,13,903,2,66,2022-08-08,54.0,7.0,41.0,8.0
2022-07-27,10,1,63,0,0,5,3,2,12,903,1,67,2022-08-08,67.0,3.0,54.0,8.0
2022-07-28,10,1,63,0,0,5,3,2,13,903,3,70,2022-08-08,65.0,3.0,41.0,6.0
